"Index","Date","DOY","Time","VPD","PAR","LAON1","LAOS1","LAIN1","LAIS1","LAON2","LAOS2","LAON3","LAON4","LAOS4","LAON5","LAON6","LAOS6","LAON7","LAON8","LAOS8","LAON9","LBON10","LBOS10","LBIN10","LBIS10","LBON11","LBOS11","LBON12","LBOS12","LBON13","LBON14","LBOS14","LBON15","LBON16","LBOS16","LBON17","LBOS17"
1,2017-11-01,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2017-11-01,305,15,0,0,7.29508122576636e-05,0.00886158190230221,0.00507885362372815,0,0,2.75307297386946,0,0,0.0083504875200578,0,0.132101876508709,0,0,0,0,0,0.00584243760293807,0,0,0,0,0,5.91532159944212,0,0,0,0,5.35059830554348,0,0.0436447155201126,0,0
3,2017-11-01,305,30,0,0,0.000170533239659314,0,0,0,0,0,0,0.00292152212733699,0.0196013546027507,0,0.162449277757954,0,0,0,0,0,0,0,0,0,0,0,2.09290447049499,0,0,0,0,2.88880223014349,0,0.00227016737908727,0,0
4,2017-11-01,305,45,0,0,0,0,0,0,0.00646133925319043,0,0,0,0.0322897716925792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2017-11-01,305,100,0,0,0.0242810004183813,0,0,0,0,0.606491429467455,0,0.0243553673792927,0.0460101882427303,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04479854131341,0,0,0,0,5.43248172808308,0,0,0,0
6,2017-11-01,305,115,0,0,0,0,0,0,0.00525636060251989,0.49132819493091,0,0,0.0605541492098871,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64926734268339,0,0,0,0,2.06315899669021,0,0,0,0
7,2017-11-01,305,130,0,0,0,0,0,0,0,0.604533751783297,0,0,0.0757899814602915,0,0.057113394599732,0,0,0,0,0,0,0,0,0,0.0133190926214247,0,4.83915062290652,0,0,0,0,8.25029347851053,0,0,0,0
8,2017-11-01,305,145,0,0,0,0,0,0,0.15100158020113,0,0,0,0.091630143995758,0,0.219650751258507,0,0,0,0,0,0,0,0,0.000799530955156114,0.022115519411492,0,0,0,0,0,0,0,0,0,0,0
9,2017-11-01,305,200,0,0,0,0,0,0,0,6.05022187660009,0,0,0.0962184009300641,0,0.00345573157613712,0,0,0,0,0,0,0,0,0,0.00401379840506538,0,11.5059665035335,0,0,0,0,12.9944549854331,0,0.646826894360411,0,0
10,2017-11-01,305,215,-1.11e-16,0,0,0,0,0,0.0613281706108439,0.163303602821787,0,0,0.112724860786257,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01685116371978,0,0,0,0,2.58256008655635,0,0,0,0
11,2017-11-01,305,230,0,0,0,0,0,0,0.0506320060296279,0.156159539943555,0,0,0.129699009616076,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90115130591024,0,0,0,0,7.79286109873067,0,0,0,0
12,2017-11-01,305,245,0,0,0,0,0,0,0,4.21844665454781,0,0,0.147101465595743,0,0.0106881274516658,0,0,0,0,0,0,0,0,0.0163804827019763,0,0,7.86582552846233,0,0,0,0,8.73855438520129,0,0.22029381444803,0,0
13,2017-11-01,305,300,0,0,0,0,0,0,0.0993468203200274,0.485374069901242,0,0,0.164899734969454,0,0,0,0,0,0,0,0,0,0,0.0568028022077163,0,0,3.3759217031971,0,0,0,0,4.49145030431733,0,0.0579455232532039,0,0
14,2017-11-01,305,315,1.11e-16,0,0,0,0,0,0,5.98846803530016,0,0,0.183066493346645,0,0,0,0,0,0,0,0,0,0,0.0537628979011381,0.0501477182780363,0,14.7995009217302,0,0,0,0,17.6131702202887,0,0.329076335789162,0,0
15,2017-11-01,305,330,0,0,0,0,0,0,0.066003217758806,0.0985571554491979,0,0,0.201578403149502,0,0,0,0,0,0,0,0,0,0,0.0393666939998111,0.00127073890992502,0,5.95362729137641,0,0,0,0,9.24831426371198,0,0,0,0
16,2017-11-01,305,345,1.11e-16,0,0,0,0,0,0.0699280006033974,0.359557305715624,0,0,0.220415271548428,0,0.109583578975177,0,0,0,0,0,0,0,0,0.0259087371158319,0.0293172403060523,0,4.97104809232276,0,0,0,0,9.31093700270555,0,0,0,0
17,2017-11-01,305,400,-1.11e-16,0,0,0.000194283133082541,0,0,0.0688632607897571,2.32695215411529,0,0,0.239559433535418,0,0.139025213643311,0,0,0,0,0,0.0424328835554285,0,0,0.013679478058024,0.0312389132129281,0,7.52671637293418,0,0,0,0,13.0776470394194,0,0.0750799874061693,0,0
18,2017-11-01,305,415,-1.11e-16,0,0,0,0,0,0,8.95172195756768,0,0,0.258995288958007,0,0.210850297355306,0,0,0,0,0,0.00584243760293807,0,0,0.00336437898596406,0.0110459013926749,0,22.2056498621104,0,0,0,0,31.1817658423928,0,1.02304168699956,0,0
19,2017-11-01,305,430,0,0,0,0,0,0,0,18.4097408251529,0,0,0.156699480288076,0,0.122113778099776,0,0,0,0,0,0.00584243760293807,0,0.0108673774584608,0.00165760988884608,0,0,32.9363152665021,0,0,0,0,42.4850749829777,0,3.4223758391642,0,0
