DOY,Interval,VPD,Date,HCOS1,HCON1,HCON2,HCIS9,HCON3,HCOS4,HCON5,HCOS6,HCON6,HCOS7,HCON8,HCOS8,HCIN8,HCON9,HCOS2,HCON4,LOON10,LOOS10,LOIN10,LOIS10,LOON11,LOOS11,LOON17,LOOS17,LOON15,LOOS15,LOON14,LOOS14,LOON12,LOOS12,LOON16,LOON13
244,Day,0,9/1/2017,4.859230812,9.99112272,13.82920663,4.708838555,24.19528966,45.05605077,6.824921518,10.52026593,32.42832413,25.7714051,1.675299101,22.62412078,82.88602292,15.53016933,4.088307703,57.22407768,54.50085172,160.9508197,13.09894092,23.14989231,4.170655193,268.1034046,3.867355691,10.8752754,4.578997935,112.1143826,4.262464994,13.30330167,39.27330506,221.6363872,4.926840973,100.3737139
245,Day,0.023818471,9/2/2017,42.77125637,86.05753352,71.61251396,1.150413602,21.38744207,13.88501446,56.82161222,92.01006245,27.80354702,3.12440475,39.96363751,21.74174562,3.38241751,138.2642675,95.18641767,58.44693096,107.9158243,215.4928482,97.9602026,43.53367536,198.4193745,378.1413703,138.3537057,185.1962874,303.1325721,8.089011834,197.7801368,166.8001359,443.4257083,0,57.0286892,98.86554083
246,Day,0.836695686,9/3/2017,896.1435265,1180.269254,949.822359,422.4608013,410.1029297,667.7737617,733.0150789,1308.549087,646.294493,499.7407908,1050.987245,734.4577891,502.4827607,1522.828655,1256.80407,775.7857351,1116.197902,1245.049678,898.905879,480.3079256,1496.874338,1862.219041,1344.252085,1600.103647,1873.953641,650.0657201,1780.855831,1457.484956,3012.563984,491.3185116,1003.973409,830.7894564
247,Day,1.067610196,9/4/2017,1153.708344,1595.58327,1290.290026,524.2263902,548.9362486,802.8243994,975.7670509,1775.339793,813.9430811,678.0680833,1261.450334,903.9383434,417.1237049,2229.066143,1710.62335,938.7424178,1293.84946,1426.449684,1010.097845,549.9271811,1953.839693,2587.188947,1562.616704,2037.002919,2533.651286,747.0218158,2348.465226,1925.377584,4291.755768,325.5916205,1212.232946,1002.065306
248,Day,0.836636078,9/5/2017,989.808142,1418.984916,1116.184512,448.1093586,503.0396176,665.7688665,870.1456271,1592.362921,747.9513059,564.6866148,1128.179306,807.480857,621.5592182,1778.039159,1488.29998,787.2509187,1117.721749,1246.605678,907.9725173,515.3868984,1869.926679,2209.879758,1376.35349,1845.597038,2415.98604,677.3239769,2162.558857,1760.201024,3873.845062,252.8605471,1035.279021,872.5672651
249,Day,-1.31E-17,9/6/2017,42.294079,88.03829947,45.19339013,19.6512007,39.21956811,56.20517933,53.92867307,69.0052901,30.16914505,19.10626051,59.59659032,41.60092343,45.96950845,43.46908565,99.41249028,34.98737065,45.33730911,151.5939263,3.830864477,1.892403518,31.76506416,184.9962091,89.68503701,70.70210571,76.32241981,121.9650437,31.70791301,43.42097519,48.20790729,233.9852764,17.68468991,77.53825286
250,Day,0.661169824,9/7/2017,949.5647168,1348.255833,1043.516464,394.5037931,522.5882093,714.8407672,901.5154102,1477.123161,708.0061516,566.9054504,1237.642597,816.7617744,431.4713018,1770.057419,1390.038711,834.4828499,1139.859005,1269.21003,924.263575,517.2730115,1644.474795,1879.772293,1687.405003,1880.907463,2246.256511,654.5586677,2100.578691,1756.748441,3565.978889,715.3170775,1112.794647,874.2066498
251,Day,0.993370686,9/8/2017,1102.307868,1702.881504,1260.258031,297.759872,682.2348472,742.3191044,1096.719795,1831.457905,794.0255497,618.4162837,1351.630903,859.627184,341.0472318,2027.039423,1703.357009,873.1362413,1174.048651,1304.121077,987.9296219,493.3956304,1958.348825,2239.926439,2045.920589,2500.14924,2736.077669,719.441744,2568.757767,2191.826721,4696.433555,344.6420957,1218.352827,1008.877363
252,Day,0.870784588,9/9/2017,1092.388202,1519.158649,1189.782463,458.2227438,612.4961965,866.9680125,1031.707687,1703.020857,857.2071464,683.90977,1286.622252,946.4223258,412.0797538,1939.578828,1510.082486,997.3514186,1379.091203,1513.490027,1135.687129,630.1710661,1958.163435,2320.263635,1862.542596,2186.945987,2490.101821,735.1752101,2359.169618,1985.323946,3698.093474,341.2137481,1254.005735,1051.877846
253,Day,0.74106851,9/10/2017,961.6049819,1204.162789,941.0593173,475.6219349,457.1655364,782.6273926,817.4957808,1365.753097,779.1981582,621.033541,1042.781445,826.9111493,364.0637769,1650.779401,1165.136913,927.9000055,1237.883446,1369.302787,1087.59124,602.1012727,1681.665749,2084.589977,1518.851572,1863.717026,2128.386332,723.0097367,1921.715071,1586.123448,2716.813386,449.2795989,1129.777915,988.1896023
