"Date","DOY","Interval","VPD","LAON1","LAOS1","LAIN1","LAIS1","LAON2","LAOS2","LAON3","LAON4","LAOS4","LAON5","LAON6","LAOS6","LAON7","LAON8","LAOS8","LAON9","LB0N10","LBOS10","LBIN10","LBIS10","LBON11","LBOS11","LBON12","LBOS12","LBON13","LBON14","LBOS14","LBON15","LBON16","LBOS16","LBON17","LBOS17"
2017-06-01,152,"24hr",74.981027,2764.20058883462,2290.88492953767,1227.03197562884,857.384596145264,2945.4033809819,2988.70506451266,3150.32845214332,1920.76856447323,2558.07195124986,1724.61657544751,2267.48181761247,2646.99764113787,1743.07862177505,3144.45266005085,2624.98825540074,2627.02903785904,2968.30746588798,NA,1118.34672177965,NA,1152.02732120157,1706.87310669097,3016.85473831226,1444.79409217711,3680.04604082717,3250.04688597389,1684.71690025668,2937.66254892758,2005.0949212827,2030.89919771029,NA,2495.17224698987
2017-06-02,153,"24hr",91.6940487,3124.77742725043,2572.32150670192,1395.51976299107,958.574123429692,3283.57070159186,3191.05057378863,3438.84817791494,2192.21918801605,2316.5323472673,2333.34109367572,2656.23452644557,2874.12808391184,1950.76050893079,3544.53591151601,2897.77984677967,2899.3464803482,3472.17659763645,NA,1165.69728275194,NA,1266.46331029406,1864.30462326288,3432.44930809906,1637.64473936642,4403.9615040033,3559.08156748002,1887.90626631611,3492.89708966755,2328.28786866962,2313.10633724787,NA,2717.19836975083
2017-06-03,154,"24hr",94.087924,3292.95124693696,639.636494616667,1561.36692273658,1050.16772139962,3705.4238135556,3469.76031683139,3746.47001716602,2330.47103031589,2879.05867829383,2760.55741191174,2787.96845704701,3083.4963856348,1933.34543845969,3805.0640807978,3107.64177646106,3154.79604381469,3671.46317396309,NA,1100.36438309254,NA,1355.1890417852,1999.99010292615,3664.90296009053,1720.6145250474,5078.78472480489,4013.9143178049,1929.52568940505,3922.88103377464,2540.13579641945,2541.11095345981,NA,2983.9541450061
2017-06-04,155,"24hr",45.978394,2440.09618036662,888.117510137211,1067.74979917587,692.44177238069,2647.19626305491,2468.74786495765,2801.82495805964,1700.42467192262,1762.62875278388,1929.86297610751,1999.56903642562,2178.20028230552,1631.49845457353,2761.54490174604,2303.38783272205,2285.45192620371,2603.09892716265,NA,851.809058641981,NA,1095.81663678391,1431.97603579819,2558.78750719724,1253.29285237645,3287.56816153577,2702.01391172166,1423.86256414455,2679.57565448183,1706.47344333367,1730.36927161261,NA,2050.35093685126
2017-06-05,156,"24hr",9.191109,657.870853290276,408.420668223681,206.857645823186,170.425425732403,523.428411981943,569.274250052208,737.453832068933,415.53761075059,820.069743055698,280.714471042662,661.683610775965,556.499908319877,608.618112706679,738.390320354834,666.033457125147,498.158838769384,613.96865900151,NA,310.664540412901,NA,202.986942081571,282.853785366967,679.213994374069,309.084881306983,622.591671713796,528.964521666008,490.203749499221,526.130543417819,359.272740337462,365.610680087488,NA,526.717181238608
2017-06-06,157,"24hr",95.908351,2700.04033158758,1352.31367125873,1044.49128381274,675.768036258381,2641.80539028252,2652.29780660265,2897.82811385183,1863.86347627741,2456.84669828751,1766.73759684156,2614.8550618657,2360.74000736452,1664.51916577281,3128.16360480216,2581.01463237623,2243.74755167202,3103.23066435501,NA,1227.92010516976,NA,1011.62499360856,1582.06703526618,3281.76462353981,1383.01098447581,3526.97256504362,2846.58859127219,1993.73459841715,2849.34676008183,1989.05155882401,2014.76403150374,NA,3141.39362268897
2017-06-07,158,"24hr",68.675226,2552.39866740981,1872.50167327742,948.79083294242,620.323773326257,2386.24980164859,2346.42962140678,2801.14216886356,1775.88032009286,4522.64525016399,1699.99120180353,2514.57040366636,2288.72065146431,1920.35412640907,3088.96203891203,2414.99707304814,1873.30973382414,2778.69569527235,NA,1248.63292675583,NA,983.756165677453,1427.75826585202,3015.81674543796,1361.81942887033,3235.21951841877,2531.24592175083,1940.90189253733,2652.9330143135,1701.37834620361,1756.69017402931,NA,2631.58738208312
2017-06-08,159,"24hr",39.537045,2127.11936820861,1075.48776703362,767.524508246684,520.896639199723,1824.52521372931,1835.32173973221,2251.04592651643,1435.44795485197,2921.89010591987,1174.35204046852,2125.98376656552,1863.73804465457,1669.0511909642,2437.48935694752,1894.73683961876,1259.18653780893,2031.4185409527,NA,854.994144023469,NA,622.810308483575,953.479941716334,2317.83960931959,1031.235492408,2467.61335773137,1939.47941552377,1456.25485568714,2033.7686810571,1237.3776079941,1302.5522670913,NA,1469.44844835993
2017-06-09,160,"24hr",69.37009,3384.24500098058,2701.57606125062,1410.01864476883,960.55755656515,3465.0081618226,3377.10796083796,3846.84027405307,2479.33281343611,2363.62741571054,2540.60090028756,2875.40690481859,2814.03881603834,2165.98176790676,3633.31111434063,2861.58214491699,2092.67789528591,3689.28695152824,NA,1477.25670704535,NA,1429.07722045954,2061.53383502977,3850.12834386136,1884.99003914085,4341.60398595327,3542.36418531808,2081.31088672176,3492.85280470017,2254.91495172184,2294.46057418538,NA,NA
2017-06-10,161,"24hr",81.957761,3395.75040528944,2719.90874565489,1442.23937387758,827.369871427461,4080.67149157494,3825.02686692756,4335.52540507138,2528.20567252911,2060.3023479297,2735.83910197381,2798.03953678037,3101.80947987442,2040.70508204158,4024.02479177188,3213.86501958564,2443.79367143222,3798.27294521975,4490.12949824139,1201.34639686473,1409.85287076348,1502.87481601009,2338.69784954097,4382.34110157794,1821.87655765934,5266.40405198252,4318.99434088953,2042.95340943779,4306.80879515653,2670.09633973242,2664.8803638837,NA,3147.34802644919
