"Date","DOY","Interval","VPD","HBON9","HBOS9","HBIN9","HBIS9","HBON10","HBOS10","HBON11","HBON12","HBOS12","HBON13","HBON14","HBOS14","HBON15","HBON16","HBOS16","HBON17","HAON1","HAOS1","HAIN1","HAIS1","HAOS2","HAON2","HAON3","HAOS3","HAON4","HAOS4","HAON5","HAON6","HAOS6","HAON7","HAON8","HAOS8"
2017-02-01,32,"24hr",29.36904,327.070235545664,451.164982334847,294.272226358052,203.991247835369,369.458822058274,297.385491231817,439.683696222059,490.858357821703,647.637558979058,285.643851275848,560.242305516472,677.71624337095,NA,237.983801784571,491.814112798107,605.17023239068,306.293618521066,98.1821272797326,131.455875061319,68.656867731935,57.9147619607566,143.966655019999,132.520368482047,169.69067475832,387.940397807875,104.870049446734,107.867624009206,101.940861819512,164.958845392434,278.013770195901,155.334605637237,135.919085148906
2017-02-02,33,"24hr",35.9154814,827.520574692815,855.697403544364,610.084231922531,448.479735526924,889.333942441206,597.887179233988,882.409285678201,524.105271518532,864.089931498684,232.823619615044,684.734417216809,1213.63505506783,NA,608.990844166563,1026.11570835663,1105.68267113086,599.773684492152,446.413879570328,429.118018856938,255.942596698574,204.306706802809,416.529012810839,374.126745748064,458.551688976521,876.19871909065,366.903065088831,414.091714332134,358.09155471297,343.013890263198,712.571094326697,529.06879792504,410.516545860251
2017-02-03,34,"24hr",34.44981,307.551833946017,275.134003977426,286.597144171009,180.497507149852,349.042732957184,191.017443807574,536.762720468612,330.175882583301,425.894323722574,112.553444205587,306.856932334374,379.276856456226,NA,220.971488290359,354.512887088685,409.368595019122,233.257878607724,100.743963925295,106.43551034093,68.2554020424448,53.1128024032678,100.83112737519,100.179885071137,128.675194980667,218.533078132257,83.6725054776849,110.802081731544,41.7049917256625,35.0823478877444,252.757737257403,110.475213491869,143.07515787502
2017-02-04,35,"24hr",31.224138,272.857658091572,367.435846986884,297.894249689044,201.265797653329,349.411642930496,301.199691554361,80.5890869185628,228.457449477569,3117.51171185174,213.070125274558,306.589743890282,510.962923373979,NA,393.731600203767,486.041400941212,426.030631971582,918.133722736291,389.416904598935,258.340598310812,229.364659712194,257.643095829744,338.945415319683,320.397093694737,184.269674694238,442.609156443918,346.335561434417,406.866245845578,331.010025652152,507.537810175353,418.779188718155,333.839739293426,386.178309968277
2017-02-05,36,"24hr",40.767769,382.670236783901,476.952330360707,310.151771176812,283.060961653963,362.994583360808,404.698932481886,149.010739591826,79.9286667984996,3006.07511058076,26.579384962195,291.091283929984,404.721073000698,NA,115.135038871137,656.557796005148,328.025129479542,383.714008008564,213.54711524154,116.721336349057,105.007480989865,46.5923050508285,106.149404775973,54.0347414140624,95.9699147790087,340.262969190525,119.866175832546,101.258403430917,39.9126325527212,76.231823384833,252.595542916017,70.9574980077764,145.439210756742
2017-02-06,37,"24hr",55.0300885,1106.06788460025,1121.94201317436,687.069407370744,525.560935680344,1075.06497328959,847.693622405831,993.038367769213,695.269582803159,2721.51298086928,356.1571910658,968.325924984416,1491.71795036462,NA,637.967128163894,1353.42912521376,1299.18514238573,588.52376293883,466.974305780265,415.593714511009,224.113440389829,199.26296213581,472.570138793449,319.363108524506,391.51961398487,1124.30918730571,471.889869948186,419.518216428978,306.686495484695,288.433658866071,819.143698487645,567.714321822444,382.518243164513
2017-02-07,38,"24hr",60.26587,1190.38859618119,1156.14224345561,834.378506822931,587.224730335802,1222.56017132033,882.877555006657,1311.59367764386,866.250615465743,656.742346328722,482.567477813601,1116.51134744918,1673.63410170817,NA,871.73289363191,1345.07444363198,1485.97434438583,636.471385270923,504.060276047998,547.012419146165,290.578615790218,261.446840305981,657.126756870795,442.427590725702,548.9509025209,1180.83398698743,510.849277291565,494.194004991124,481.985996270762,429.677162613661,805.450845515776,679.518743356366,479.545188608084
2017-02-08,39,"24hr",49.9762032,956.103021899174,982.677087729301,706.782717691362,506.859096524525,908.027006124477,747.264907364353,1239.92662532958,1035.60341448324,2598.66956496595,606.529254155946,1240.35938786055,1428.2203879291,NA,859.35518525877,1070.71478862427,1156.0293738839,584.89918992517,496.445169691136,556.852452233551,311.400286153738,249.60192052048,652.674943160967,480.567366551152,574.54768460583,961.16469932562,449.691419539594,512.585481826587,462.027280166628,433.71811054846,668.172528046143,657.794286651857,468.545673073819
2017-02-09,40,"24hr",30.8717338,512.755148692282,537.190065478934,424.244147513863,277.241686026949,414.585784236685,400.283827843171,772.651545410673,630.013620505674,855.317199983858,470.727740013457,752.277278943755,707.282153330522,NA,873.347804958401,624.889225496066,638.577766968381,397.692522303637,200.080483532992,205.536904684514,116.477735841732,65.0320398064121,347.28664849637,395.057015956975,350.955032936382,254.08259332652,218.039564043107,218.04899518643,272.031084385034,125.269085620342,276.666062503486,314.027819855516,419.412411920539
2017-02-10,41,"24hr",30.892294,87.9817310121316,163.599599877154,112.241256975267,40.2563883568118,155.678443851029,126.70116717033,74.9383963402762,284.31866306251,568.337878778749,303.035602289249,315.407042773338,270.544171057788,NA,310.65520571435,182.457537360703,160.564792757406,756.929062841318,146.444811504203,78.0533448641748,110.72198060426,68.8880524780595,248.203241643392,158.649610517393,94.3549641596785,231.431832779526,208.337223483455,157.785733432804,265.873730966388,397.949462594088,113.574985018087,200.769954663937,193.368249209265
